,order_id,product_id_ord,order_amount,day_of_week,quality_assessment,region,number_product
139,140,21,116.635777911937,0,3,Novosibirsk region,10
140,141,29,2654.7088415145663,0,5,Moscow,10
141,142,80,2841.394938277023,0,2,Moscow region,10
142,143,37,1253.1144914416623,0,2,Leningrad region,12
143,144,18,9425.1432212045,1,6,Sverdlovsk region,3
144,145,18,9425.1432212045,1,6,Novosibirsk region,12
145,146,73,604.0496269970082,0,6,Moscow,12
146,147,60,3209.275411902527,0,2,Moscow region,14
147,148,42,271.9352393966777,0,2,Leningrad region,3
148,149,77,16405.18138236295,1,9,Sverdlovsk region,8
149,150,65,201.01729424773487,0,4,Novosibirsk region,14
150,151,54,131.76052473491197,0,6,Moscow,14
151,152,60,3209.275411902527,0,4,Moscow region,10
152,153,35,1123.91035220221,0,1,Leningrad region,13
153,154,21,116.635777911937,0,2,Sverdlovsk region,14
154,155,98,796.1216275524662,0,4,Novosibirsk region,3
155,156,63,301.48130882130977,0,6,Moscow,5
156,157,38,11061.179429889095,1,5,Moscow region,5
157,158,21,116.635777911937,0,2,Leningrad region,5
158,159,98,796.1216275524662,0,2,Sverdlovsk region,14
159,160,87,3288.7307590781784,0,1,Novosibirsk region,13
160,161,87,3288.7307590781784,0,4,Moscow,6
161,162,2,3351.826048509307,0,3,Moscow region,3
162,163,67,30.19304199674977,0,6,Leningrad region,5
163,164,76,3479.8189685617717,0,4,Sverdlovsk region,8
164,165,78,428.5518808724182,0,4,Novosibirsk region,13
165,166,36,260.2967766012207,0,4,Moscow,7
166,167,1,3440.1265150597756,0,3,Moscow region,9
167,168,43,4529.601785201896,1,4,Leningrad region,5
168,169,11,166.04204426548068,0,4,Sverdlovsk region,4
169,170,89,2916.673528383257,0,1,Novosibirsk region,2
170,171,83,225.93281829143814,0,4,Moscow,7
171,172,66,1510.729934348859,0,1,Moscow region,13
172,173,16,5771.883307906414,1,5,Leningrad region,6
173,174,20,868.5765842056575,0,3,Sverdlovsk region,4
174,175,33,4806.03792245232,1,3,Novosibirsk region,10
175,176,5,635.7663952132939,0,6,Moscow,12
176,177,95,10055.732465470695,1,6,Moscow region,5
177,178,87,3288.7307590781784,0,4,Leningrad region,6
178,179,17,1507.195900611043,0,4,Sverdlovsk region,7
179,180,21,116.635777911937,0,5,Novosibirsk region,5
180,181,52,2884.931130543534,0,4,Moscow,3
181,182,59,1113.7181271920028,0,3,Moscow region,14
182,183,92,837.3007368437757,0,2,Leningrad region,13
183,184,29,2654.7088415145663,0,3,Sverdlovsk region,1
184,185,76,3479.8189685617717,0,2,Novosibirsk region,3
185,186,62,11932.268584253756,1,8,Moscow,2
186,187,36,260.2967766012207,0,2,Moscow region,13
187,188,62,11932.268584253756,1,8,Leningrad region,14
188,189,82,1729.5199502744192,0,4,Sverdlovsk region,6
189,190,57,1250.7300733236812,0,2,Novosibirsk region,9
190,191,66,1510.729934348859,0,5,Moscow,12
191,192,14,1056.0474726593802,0,1,Moscow region,1
192,193,90,4111.041882085058,1,6,Leningrad region,11
193,194,84,228.79879303505825,0,2,Sverdlovsk region,7
194,195,87,3288.7307590781784,0,2,Novosibirsk region,12
195,196,2,3351.826048509307,0,6,Moscow,6
196,197,37,1253.1144914416623,0,1,Moscow region,11
197,198,58,8681.774695722743,1,3,Leningrad region,9
198,199,53,20608.7700299446,1,8,Sverdlovsk region,6
199,200,8,1036.4985586856592,0,4,Novosibirsk region,5
200,201,65,201.01729424773487,0,1,Moscow,5
201,202,11,166.04204426548068,0,4,Moscow region,14
202,203,12,2679.543413943801,0,3,Leningrad region,4
203,204,62,11932.268584253756,1,4,Sverdlovsk region,4
204,205,37,1253.1144914416623,0,6,Novosibirsk region,3
205,206,94,497.7333279441067,0,5,Moscow,13
206,207,58,8681.774695722743,1,7,Moscow region,10
207,208,55,357.57227259671777,0,4,Leningrad region,5
208,209,8,1036.4985586856592,0,6,Sverdlovsk region,10
209,210,63,301.48130882130977,0,4,Novosibirsk region,7
210,211,1,3440.1265150597756,0,4,Moscow,8
211,212,70,5898.278813520219,1,5,Moscow region,4
212,213,42,271.9352393966777,0,5,Leningrad region,6
213,214,7,4844.7768573382355,1,10,Sverdlovsk region,13
214,215,87,3288.7307590781784,0,6,Novosibirsk region,12
215,216,81,815.9342807184619,0,4,Moscow,13
216,217,39,1632.4448660204691,0,1,Moscow region,7
217,218,99,1017.402259832958,0,5,Leningrad region,4
218,219,58,8681.774695722743,1,7,Sverdlovsk region,1
219,220,84,228.79879303505825,0,2,Novosibirsk region,7
220,221,73,604.0496269970082,0,3,Moscow,13
221,222,30,3098.325990666074,0,5,Moscow region,14
222,223,5,635.7663952132939,0,5,Leningrad region,9
223,224,14,1056.0474726593802,0,5,Sverdlovsk region,3
224,225,51,2626.6788336699783,0,1,Novosibirsk region,6
225,226,23,1359.1018453504219,0,6,Moscow,3
226,227,12,2679.543413943801,0,1,Moscow region,11
227,228,55,357.57227259671777,0,1,Leningrad region,13
228,229,99,1017.402259832958,0,1,Sverdlovsk region,5
229,230,95,10055.732465470695,1,10,Novosibirsk region,5
230,231,78,428.5518808724182,0,2,Moscow,2
231,232,80,2841.394938277023,0,5,Moscow region,3
232,233,11,166.04204426548068,0,2,Leningrad region,5
233,234,97,8363.97247601507,1,6,Sverdlovsk region,4
234,235,65,201.01729424773487,0,1,Novosibirsk region,10
235,236,6,312.3670604397639,0,5,Moscow,9
236,237,25,8267.099390506328,1,5,Moscow region,7
237,238,47,1582.5156202485107,0,1,Leningrad region,3
238,239,20,868.5765842056575,0,3,Sverdlovsk region,13
239,240,75,620.7347474720593,0,3,Novosibirsk region,2
240,241,68,671.4580874340995,0,5,Moscow,10
241,242,55,357.57227259671777,0,5,Moscow region,8
242,243,25,8267.099390506328,1,6,Leningrad region,1
243,244,75,620.7347474720593,0,4,Sverdlovsk region,10
244,245,98,796.1216275524662,0,5,Novosibirsk region,6
245,246,85,5357.659968395543,1,9,Moscow,13
246,247,60,3209.275411902527,0,3,Moscow region,11
247,248,53,20608.7700299446,1,8,Leningrad region,14
248,249,29,2654.7088415145663,0,6,Sverdlovsk region,6
249,250,46,6284.403882827816,1,5,Novosibirsk region,13
250,251,39,1632.4448660204691,0,4,Moscow,4
251,252,33,4806.03792245232,1,4,Moscow region,7
252,253,80,2841.394938277023,0,4,Leningrad region,9
253,254,98,796.1216275524662,0,3,Sverdlovsk region,13
254,255,9,4944.032213587976,1,9,Novosibirsk region,14
255,256,21,116.635777911937,0,2,Moscow,6
256,257,43,4529.601785201896,1,7,Moscow region,11
257,258,45,4712.86138473949,1,9,Leningrad region,13
258,259,69,1180.2669251895509,0,5,Sverdlovsk region,14
259,260,63,301.48130882130977,0,3,Novosibirsk region,1
260,261,77,16405.18138236295,1,5,Moscow,3
261,262,48,1283.356059749658,0,1,Moscow region,9
262,263,46,6284.403882827816,1,8,Leningrad region,5
263,264,12,2679.543413943801,0,5,Sverdlovsk region,14
264,265,28,1202.0860092482405,0,2,Novosibirsk region,14
265,266,14,1056.0474726593802,0,2,Moscow,1
266,267,25,8267.099390506328,1,8,Moscow region,9
267,268,39,1632.4448660204691,0,1,Leningrad region,13
268,269,61,347.3315263615517,0,3,Sverdlovsk region,4
269,270,18,9425.1432212045,1,6,Novosibirsk region,6
270,271,91,2377.0415503557633,0,3,Moscow,9
271,272,63,301.48130882130977,0,1,Moscow region,6
272,273,9,4944.032213587976,1,8,Leningrad region,8
273,274,80,2841.394938277023,0,3,Sverdlovsk region,8
274,275,48,1283.356059749658,0,5,Novosibirsk region,5
275,276,14,1056.0474726593802,0,3,Moscow,13
276,277,72,19776.443678516436,1,5,Moscow region,3
277,278,1,3440.1265150597756,0,1,Leningrad region,11
278,279,50,7574.6620600965925,1,7,Sverdlovsk region,5
279,280,64,8203.568153534587,1,8,Novosibirsk region,14
280,281,81,815.9342807184619,0,6,Moscow,8
281,282,20,868.5765842056575,0,3,Moscow region,8
282,283,39,1632.4448660204691,0,1,Leningrad region,12
283,284,50,7574.6620600965925,1,8,Sverdlovsk region,7
284,285,67,30.19304199674977,0,5,Novosibirsk region,4
285,286,84,228.79879303505825,0,6,Moscow,11
286,287,11,166.04204426548068,0,5,Moscow region,13
287,288,16,5771.883307906414,1,8,Leningrad region,9
288,289,51,2626.6788336699783,0,5,Sverdlovsk region,14
289,290,44,5984.022234825102,1,8,Novosibirsk region,6
290,291,50,7574.6620600965925,1,9,Moscow,3
291,292,39,1632.4448660204691,0,1,Moscow region,11
292,293,99,1017.402259832958,0,6,Leningrad region,2
293,294,4,289.23800825574665,0,6,Sverdlovsk region,7
294,295,81,815.9342807184619,0,6,Novosibirsk region,5
295,296,55,357.57227259671777,0,2,Moscow,12
296,297,30,3098.325990666074,0,4,Moscow region,13
297,298,53,20608.7700299446,1,5,Leningrad region,6
298,299,38,11061.179429889095,1,3,Sverdlovsk region,5
299,300,78,428.5518808724182,0,4,Novosibirsk region,10
300,301,6,312.3670604397639,0,4,Moscow,11
301,302,99,1017.402259832958,0,4,Moscow region,7
302,303,86,103.47277643616286,0,5,Leningrad region,3
303,304,13,3820.9618394109816,1,9,Sverdlovsk region,8
304,305,64,8203.568153534587,1,6,Novosibirsk region,2
305,306,30,3098.325990666074,0,1,Moscow,4
306,307,23,1359.1018453504219,0,2,Moscow region,5
307,308,81,815.9342807184619,0,5,Leningrad region,6
308,309,55,357.57227259671777,0,6,Sverdlovsk region,4
309,310,34,1835.1835368623247,0,5,Novosibirsk region,12
310,311,83,225.93281829143814,0,3,Moscow,12
311,312,65,201.01729424773487,0,3,Moscow region,10
312,313,67,30.19304199674977,0,3,Leningrad region,6
313,314,83,225.93281829143814,0,3,Sverdlovsk region,13
314,315,89,2916.673528383257,0,1,Novosibirsk region,6
315,316,21,116.635777911937,0,3,Moscow,11
316,317,14,1056.0474726593802,0,1,Moscow region,8
317,318,69,1180.2669251895509,0,5,Leningrad region,7
318,319,2,3351.826048509307,0,1,Sverdlovsk region,11
319,320,68,671.4580874340995,0,2,Novosibirsk region,4
320,321,8,1036.4985586856592,0,1,Moscow,14
321,322,6,312.3670604397639,0,4,Moscow region,7
322,323,18,9425.1432212045,1,5,Leningrad region,3
323,324,19,3064.0454424424356,0,3,Sverdlovsk region,13
324,325,70,5898.278813520219,1,5,Novosibirsk region,13
325,326,32,1664.396055731571,0,1,Moscow,1
326,327,80,2841.394938277023,0,2,Moscow region,2
327,328,7,4844.7768573382355,1,10,Leningrad region,10
328,329,95,10055.732465470695,1,8,Sverdlovsk region,1
329,330,15,299.79442682160163,0,4,Novosibirsk region,8
330,331,16,5771.883307906414,1,3,Moscow,2
331,332,37,1253.1144914416623,0,6,Moscow region,13
332,333,55,357.57227259671777,0,6,Leningrad region,14
333,334,36,260.2967766012207,0,1,Sverdlovsk region,2
334,335,57,1250.7300733236812,0,6,Novosibirsk region,2
335,336,46,6284.403882827816,1,4,Moscow,8
336,337,13,3820.9618394109816,1,5,Moscow region,3
337,338,62,11932.268584253756,1,10,Leningrad region,11
338,339,58,8681.774695722743,1,8,Sverdlovsk region,8
339,340,82,1729.5199502744192,0,1,Novosibirsk region,2
340,341,52,2884.931130543534,0,6,Moscow,11
341,342,46,6284.403882827816,1,10,Moscow region,10
342,343,17,1507.195900611043,0,2,Leningrad region,12
343,344,89,2916.673528383257,0,3,Sverdlovsk region,10
344,345,94,497.7333279441067,0,4,Novosibirsk region,6
345,346,84,228.79879303505825,0,6,Moscow,6
346,347,49,1079.8649953162285,0,2,Moscow region,8
347,348,74,15803.664670503786,1,9,Leningrad region,3
348,349,12,2679.543413943801,0,3,Sverdlovsk region,13
349,350,71,12846.124526546275,1,5,Novosibirsk region,13
350,351,87,3288.7307590781784,0,5,Moscow,1
351,352,99,1017.402259832958,0,2,Moscow region,6
352,353,12,2679.543413943801,0,3,Leningrad region,6
353,354,18,9425.1432212045,1,9,Sverdlovsk region,11
354,355,53,20608.7700299446,1,3,Novosibirsk region,10
355,356,59,1113.7181271920028,0,2,Moscow,13
356,357,89,2916.673528383257,0,1,Moscow region,11
357,358,41,956.7395900644001,0,2,Leningrad region,5
358,359,16,5771.883307906414,1,3,Sverdlovsk region,12
359,360,49,1079.8649953162285,0,3,Novosibirsk region,14
360,361,15,299.79442682160163,0,4,Moscow,4
361,362,83,225.93281829143814,0,6,Moscow region,8
362,363,62,11932.268584253756,1,3,Leningrad region,5
363,364,71,12846.124526546275,1,3,Sverdlovsk region,2
364,365,84,228.79879303505825,0,1,Novosibirsk region,5
365,366,40,16862.020253670034,1,6,Moscow,6
366,367,76,3479.8189685617717,0,3,Moscow region,13
367,368,97,8363.97247601507,1,9,Leningrad region,5
368,369,5,635.7663952132939,0,1,Sverdlovsk region,9
369,370,98,796.1216275524662,0,6,Novosibirsk region,5
370,371,98,796.1216275524662,0,4,Moscow,12
371,372,53,20608.7700299446,1,9,Moscow region,13
372,373,38,11061.179429889095,1,4,Leningrad region,11
373,374,24,11057.415949130127,1,8,Sverdlovsk region,13
374,375,77,16405.18138236295,1,7,Novosibirsk region,6
375,376,2,3351.826048509307,0,2,Moscow,4
376,377,23,1359.1018453504219,0,3,Moscow region,13
377,378,7,4844.7768573382355,1,7,Leningrad region,14
378,379,37,1253.1144914416623,0,2,Sverdlovsk region,11
379,380,98,796.1216275524662,0,5,Novosibirsk region,1
380,381,45,4712.86138473949,1,10,Moscow,10
381,382,26,1033.141893562235,0,4,Moscow region,12
382,383,2,3351.826048509307,0,1,Leningrad region,11
383,384,50,7574.6620600965925,1,5,Sverdlovsk region,7
384,385,4,289.23800825574665,0,4,Novosibirsk region,6
385,386,55,357.57227259671777,0,3,Moscow,12
386,387,70,5898.278813520219,1,6,Moscow region,7
387,388,42,271.9352393966777,0,1,Leningrad region,8
388,389,79,1324.6617418168785,0,4,Sverdlovsk region,3
389,390,41,956.7395900644001,0,3,Novosibirsk region,6
390,391,88,94.27268159286189,0,5,Moscow,3
391,392,56,2852.9518771096864,0,5,Moscow region,8
392,393,22,8658.54681068168,1,4,Leningrad region,14
393,394,41,956.7395900644001,0,3,Sverdlovsk region,9
394,395,95,10055.732465470695,1,5,Novosibirsk region,11
395,396,79,1324.6617418168785,0,3,Moscow,13
396,397,12,2679.543413943801,0,6,Moscow region,9
397,398,14,1056.0474726593802,0,4,Leningrad region,5
398,399,10,930.2902909719237,0,4,Sverdlovsk region,14
399,400,9,4944.032213587976,1,9,Novosibirsk region,8
400,401,50,7574.6620600965925,1,8,Moscow,4
401,402,86,103.47277643616286,0,2,Moscow region,10
402,403,76,3479.8189685617717,0,4,Leningrad region,8
403,404,35,1123.91035220221,0,4,Sverdlovsk region,7
404,405,42,271.9352393966777,0,3,Novosibirsk region,2
405,406,78,428.5518808724182,0,6,Moscow,11
406,407,60,3209.275411902527,0,1,Moscow region,6
407,408,90,4111.041882085058,1,7,Leningrad region,13
408,409,59,1113.7181271920028,0,6,Sverdlovsk region,9
409,410,40,16862.020253670034,1,3,Novosibirsk region,10
410,411,38,11061.179429889095,1,6,Moscow,13
411,412,41,956.7395900644001,0,6,Moscow region,4
412,413,51,2626.6788336699783,0,4,Leningrad region,1
413,414,36,260.2967766012207,0,4,Sverdlovsk region,4
414,415,38,11061.179429889095,1,10,Novosibirsk region,10
415,416,15,299.79442682160163,0,6,Moscow,14
416,417,43,4529.601785201896,1,9,Moscow region,13
417,418,60,3209.275411902527,0,3,Leningrad region,2
418,419,57,1250.7300733236812,0,6,Sverdlovsk region,9
419,420,24,11057.415949130127,1,3,Novosibirsk region,9
420,421,17,1507.195900611043,0,5,Moscow,9
421,422,23,1359.1018453504219,0,1,Moscow region,13
422,423,28,1202.0860092482405,0,6,Leningrad region,14
423,424,5,635.7663952132939,0,6,Sverdlovsk region,11
424,425,22,8658.54681068168,1,10,Novosibirsk region,9
425,426,30,3098.325990666074,0,3,Moscow,13
426,427,97,8363.97247601507,1,4,Moscow region,10
427,428,27,995.4748195382215,0,2,Leningrad region,7
428,429,99,1017.402259832958,0,3,Sverdlovsk region,9
429,430,61,347.3315263615517,0,5,Novosibirsk region,4
430,431,11,166.04204426548068,0,2,Moscow,10
431,432,64,8203.568153534587,1,3,Moscow region,9
432,433,94,497.7333279441067,0,6,Leningrad region,10
433,434,75,620.7347474720593,0,1,Sverdlovsk region,3
434,435,43,4529.601785201896,1,8,Novosibirsk region,14
435,436,37,1253.1144914416623,0,6,Moscow,3
436,437,2,3351.826048509307,0,6,Moscow region,5
437,438,34,1835.1835368623247,0,1,Leningrad region,12
438,439,70,5898.278813520219,1,7,Sverdlovsk region,4
439,440,40,16862.020253670034,1,7,Novosibirsk region,9
440,441,60,3209.275411902527,0,1,Moscow,7
441,442,28,1202.0860092482405,0,1,Moscow region,6
442,443,57,1250.7300733236812,0,5,Leningrad region,13
443,444,54,131.76052473491197,0,1,Sverdlovsk region,6
444,445,47,1582.5156202485107,0,2,Novosibirsk region,13
445,446,59,1113.7181271920028,0,1,Moscow,4
446,447,42,271.9352393966777,0,6,Moscow region,12
447,448,87,3288.7307590781784,0,4,Leningrad region,12
448,449,61,347.3315263615517,0,1,Sverdlovsk region,14
449,450,18,9425.1432212045,1,6,Novosibirsk region,13
450,451,17,1507.195900611043,0,3,Moscow,4
451,452,83,225.93281829143814,0,5,Moscow region,12
452,453,49,1079.8649953162285,0,5,Leningrad region,2
453,454,73,604.0496269970082,0,6,Sverdlovsk region,13
454,455,47,1582.5156202485107,0,4,Novosibirsk region,1
455,456,54,131.76052473491197,0,3,Moscow,6
456,457,12,2679.543413943801,0,4,Moscow region,3
457,458,99,1017.402259832958,0,5,Leningrad region,8
458,459,19,3064.0454424424356,0,3,Sverdlovsk region,2
459,460,61,347.3315263615517,0,2,Novosibirsk region,6
460,461,27,995.4748195382215,0,4,Moscow,1
461,462,78,428.5518808724182,0,3,Moscow region,3
462,463,57,1250.7300733236812,0,5,Leningrad region,9
463,464,78,428.5518808724182,0,1,Sverdlovsk region,2
464,465,99,1017.402259832958,0,1,Novosibirsk region,5
465,466,50,7574.6620600965925,1,7,Moscow,8
466,467,67,30.19304199674977,0,1,Moscow region,12
467,468,30,3098.325990666074,0,3,Leningrad region,12
468,469,96,2936.6833128395147,0,6,Sverdlovsk region,8
469,470,63,301.48130882130977,0,6,Novosibirsk region,4
470,471,78,428.5518808724182,0,3,Moscow,2
471,472,42,271.9352393966777,0,5,Moscow region,11
472,473,62,11932.268584253756,1,9,Leningrad region,11
473,474,40,16862.020253670034,1,7,Sverdlovsk region,12
474,475,67,30.19304199674977,0,2,Novosibirsk region,14
475,476,47,1582.5156202485107,0,4,Moscow,10
476,477,60,3209.275411902527,0,6,Moscow region,12
477,478,22,8658.54681068168,1,4,Leningrad region,8
478,479,25,8267.099390506328,1,10,Sverdlovsk region,6
479,480,8,1036.4985586856592,0,5,Novosibirsk region,9
480,481,52,2884.931130543534,0,3,Moscow,12
481,482,25,8267.099390506328,1,6,Moscow region,3
482,483,65,201.01729424773487,0,3,Leningrad region,9
483,484,96,2936.6833128395147,0,5,Sverdlovsk region,6
484,485,1,3440.1265150597756,0,4,Novosibirsk region,2
485,486,74,15803.664670503786,1,10,Moscow,13
486,487,94,497.7333279441067,0,3,Moscow region,11
487,488,80,2841.394938277023,0,1,Leningrad region,4
488,489,81,815.9342807184619,0,3,Sverdlovsk region,2
489,490,49,1079.8649953162285,0,5,Novosibirsk region,10
490,491,56,2852.9518771096864,0,3,Moscow,13
491,492,29,2654.7088415145663,0,3,Moscow region,2
492,493,80,2841.394938277023,0,3,Leningrad region,1
493,494,14,1056.0474726593802,0,4,Sverdlovsk region,5
494,495,4,289.23800825574665,0,3,Novosibirsk region,11
495,496,50,7574.6620600965925,1,10,Moscow,1
496,497,75,620.7347474720593,0,1,Moscow region,12
497,498,90,4111.041882085058,1,9,Leningrad region,12
498,499,61,347.3315263615517,0,4,Sverdlovsk region,11
499,500,32,1664.396055731571,0,3,Novosibirsk region,10
500,501,55,357.57227259671777,0,5,Moscow,1
501,502,73,604.0496269970082,0,4,Moscow region,12
502,503,82,1729.5199502744192,0,3,Leningrad region,14
